Date,Open,High,Low,Close,Adj Close,Volume
05-05-2016,874.099976,875.450012,862.450012,867.049988,834.164124,402567
06-05-2016,863.950012,890,861.5,889.049988,855.329651,1249025
09-05-2016,894.950012,913.900024,893.650024,906.599976,872.21405,1355429
10-05-2016,904.950012,908.25,893.450012,898.349976,864.276917,1034271
11-05-2016,892,919,887.5,907.849976,873.416626,2228431
12-05-2016,920,933.900024,917.200012,928.799988,893.572144,2382775
13-05-2016,928.75,948,927.599976,943.650024,907.858887,2285317
16-05-2016,948.950012,957.799988,945,952.650024,916.517517,1913343
17-05-2016,953.5,972,947.75,969.650024,932.872864,1770437
18-05-2016,969,971,952.450012,963.25,926.715454,1273835
19-05-2016,968.849976,968.849976,952.049988,956.799988,920.51001,1251713
20-05-2016,956,963,950.75,956,919.740417,972841
23-05-2016,959.900024,960,943.650024,946.599976,910.696777,726047
24-05-2016,952.400024,962.400024,941.700012,956.25,919.981018,490332
25-05-2016,963.150024,985,962.799988,982.25,944.994812,815313
26-05-2016,988.549988,999.5,973.450012,991.849976,954.230713,1410903
27-05-2016,991.900024,1001.799988,986.450012,998.25,960.388062,1105534
30-05-2016,994,1004.25,978.450012,984.900024,947.544312,1487177
31-05-2016,988,995.5,980.700012,984.849976,947.496155,1151373
01-06-2016,989.049988,1025,989.049988,1021.700012,982.948486,2068760
02-06-2016,1007,1029,996.549988,1024.050049,985.209351,2420319
03-06-2016,1023.5,1032.099976,1013.5,1025.300049,986.412048,2045789
06-06-2016,1017.099976,1032.349976,1016.599976,1026.300049,987.374023,1574228
07-06-2016,1025.349976,1037.449951,1024.599976,1032.75,993.579529,755934
08-06-2016,1029,1029,1011.25,1018.049988,979.437012,933533
09-06-2016,1018,1019,995.700012,998.799988,960.917114,1024252
10-06-2016,994.950012,999,989.599976,992.049988,954.423218,1313970
13-06-2016,987,996.5,985.099976,994.900024,957.1651,808571
14-06-2016,995,999,978.599976,986.5,949.083618,699283
15-06-2016,986,1002,986,998.400024,960.53241,731016
16-06-2016,993.75,1009,986.200012,1006.549988,973.541199,740810
17-06-2016,1010,1014.849976,994,999.599976,966.819031,365441
20-06-2016,994.950012,997,986.25,991.5,958.984802,627622
21-06-2016,990,991,977.200012,982.049988,949.844727,712870
22-06-2016,980,989.450012,978.5,985.450012,953.133118,507154
23-06-2016,986.099976,990,980.299988,984.099976,951.827271,678141
24-06-2016,974.099976,993,963.599976,989.549988,957.098755,777600
27-06-2016,970.25,992.950012,970.25,974.299988,942.348938,662651
28-06-2016,981,985,975.349976,980.200012,948.055298,822749
29-06-2016,978.25,999.299988,978.25,994.200012,961.596313,711457
30-06-2016,1004.849976,1009,996.049988,1003.299988,970.397827,1039352
01-07-2016,1002.799988,1011.099976,995.450012,1002.5,969.624084,1314022
04-07-2016,1008,1017.049988,998.200012,1000.400024,967.592957,884699
05-07-2016,1003,1004.849976,983.349976,985.099976,952.794556,523870
07-07-2016,989.349976,997,985,987.700012,955.30957,757053
08-07-2016,992.900024,1013.900024,988.150024,1010.700012,977.555237,1200518
11-07-2016,1020,1033,1017.849976,1026.800049,993.127197,1082293
12-07-2016,1028.800049,1037.900024,1016.799988,1020.450012,986.985413,1259777
13-07-2016,1029,1029,1006.450012,1009.5,976.394409,1319911
14-07-2016,1010.200012,1025.5,1009,1017.599976,984.228821,754274
15-07-2016,1018.200012,1031.5,1018.200012,1025.900024,992.256653,671924
18-07-2016,1027.099976,1044.900024,1025.25,1028.5,994.771484,721547
19-07-2016,1031,1037.5,1021.200012,1030.699951,996.899292,541334
20-07-2016,1029.25,1036.400024,1020,1028.550049,994.819824,529012
21-07-2016,1029.800049,1048,1026.550049,1042.699951,1008.505798,706661
22-07-2016,1047.849976,1054,1042.050049,1047.050049,1012.713074,502766
25-07-2016,1049.300049,1074.400024,1047.150024,1070.650024,1035.539185,734354
26-07-2016,1072.099976,1074.949951,1055,1060.75,1025.963745,562982
27-07-2016,1069.900024,1073.800049,1052.199951,1061.800049,1026.979614,765267
28-07-2016,1074,1153.800049,1068,1128,1091.008423,5831636
29-07-2016,1127.5,1137.699951,1102.25,1114.150024,1077.612671,1152956
01-08-2016,1119.599976,1134,1115.050049,1120.900024,1084.141235,864041
02-08-2016,1129.699951,1142.5,1118.650024,1123.349976,1086.510864,832931
03-08-2016,1132.449951,1147.150024,1124.050049,1143.400024,1105.903442,1130691
04-08-2016,1152.050049,1154.599976,1116.699951,1127.300049,1090.331421,1075876
05-08-2016,1131,1145.300049,1128.75,1143.349976,1105.855103,543090
08-08-2016,1153,1153,1136,1148.349976,1110.690918,407801
09-08-2016,1153.599976,1154.949951,1134,1146.5,1108.901611,541100
10-08-2016,1142.099976,1148.449951,1128.099976,1129.949951,1092.894409,788849
11-08-2016,1130,1147.5,1118.599976,1145.099976,1107.547485,651399
12-08-2016,1143,1161.25,1125.400024,1137.5,1100.196899,795382
16-08-2016,1135.5,1147.800049,1126.900024,1129.650024,1092.60437,921462
17-08-2016,1115,1127.699951,1108.150024,1113.550049,1077.032349,742834
18-08-2016,1119.75,1119.75,1102.550049,1107.349976,1071.035645,1263890
19-08-2016,1101.349976,1126.900024,1101.349976,1113.5,1076.983765,864966
22-08-2016,1121,1121,1105,1113.900024,1077.37085,827995
23-08-2016,1112.699951,1129.650024,1108.150024,1126.25,1089.315796,684493
24-08-2016,1130,1130.199951,1115.599976,1118.849976,1082.158325,417969
25-08-2016,1120.099976,1126.5,1102.800049,1105.900024,1069.633545,554850
26-08-2016,1106.25,1127.550049,1091.050049,1123.300049,1086.462524,869672
29-08-2016,1123.300049,1124.650024,1104.150024,1111.849976,1075.387817,452947
30-08-2016,1115,1148,1110,1146.199951,1108.611328,674826
31-08-2016,1157,1173.900024,1149,1157.900024,1119.927979,1668417
01-09-2016,1159.849976,1164.050049,1142,1156.949951,1119.009277,621894
02-09-2016,1158.949951,1172,1151.300049,1167.550049,1129.261475,710106
06-09-2016,1175,1213.900024,1170.599976,1204.150024,1164.661011,1131704
07-09-2016,1208,1209,1170.699951,1177.199951,1138.594849,1092266
08-09-2016,1179,1190,1171,1182.599976,1143.817627,888245
09-09-2016,1181.900024,1181.900024,1168,1171.75,1133.32373,575102
12-09-2016,1156.349976,1163,1137,1154.599976,1116.735962,465079
14-09-2016,1150.099976,1178.949951,1150.099976,1163.599976,1125.440796,704633
15-09-2016,1170,1175.5,1160,1173.550049,1135.064575,616127
16-09-2016,1173.599976,1181.25,1152,1155.150024,1117.268188,1136226
19-09-2016,1157.199951,1172,1157.199951,1163.599976,1125.440796,550698
20-09-2016,1164,1173.699951,1162.599976,1165.050049,1126.843506,966451
21-09-2016,1165.900024,1176,1165.900024,1170.599976,1132.211426,615798
22-09-2016,1182.300049,1197,1175,1192,1152.90979,913747
23-09-2016,1201,1203.5,1185,1191.199951,1152.135742,668223
26-09-2016,1195,1195,1174.900024,1183,1144.204468,817715
27-09-2016,1184.199951,1203,1184.199951,1192.550049,1153.441528,532323
28-09-2016,1193,1201,1188.099976,1193.5,1154.360474,566690
29-09-2016,1194.349976,1203.349976,1160,1167.349976,1129.067993,1125599
30-09-2016,1167,1179.949951,1156,1160.699951,1122.635986,478253
03-10-2016,1170,1199,1165.400024,1193,1153.876831,747111
